Location,Property_Type,Size_sqm,Number_of_Bedrooms,Number_of_Bathrooms,Number_of_Floors,Year_Built,Parking_Space,Furnished,Proximity_to_City_Center_km,Proximity_to_Schools_km,Security_Features,Price_RWF
Kibagabaga,Bungalow,170,1,2,1,2018,1,1,6.05340029,1.211984026,1,3545686
Kacyiru,Bungalow,190,2,3,1,2003,0,0,8.048860052,2.283878171,1,5191761
Kanombe,Apartment,79,4,3,1,2011,0,0,2.917929364,0.416259184,1,3295061
Remera,Villa,174,3,3,1,1989,1,0,4.955305223,3.478306705,1,3488814
Kibagabaga,House,240,3,2,3,1990,0,0,8.438079128,1.543986326,1,6133847
Nyamirambo,Bungalow,207,5,1,2,2001,0,0,6.469718103,3.471891709,1,3040343
Kacyiru,Bungalow,307,2,2,3,1997,1,1,3.093332557,1.102240642,1,6977364
Kanombe,Villa,162,3,1,1,2004,1,0,5.679312028,1.790562,1,2509133
Nyamirambo,Bungalow,166,5,3,2,1981,0,0,3.228248227,1.463238005,1,6603120
Gacuriro,Villa,149,4,2,3,2015,1,1,2.929361938,1.466843635,1,4019396
Kimironko,House,266,1,3,2,2011,1,0,6.656759672,1.677104835,1,9799274
Kanombe,House,98,4,1,1,2004,1,1,5.700272781,2.665441702,1,4015939
Nyarutarama,Apartment,268,2,2,3,1983,1,1,6.179462866,0.977055177,1,4064253
Nyarutarama,Apartment,201,5,3,1,2003,1,0,5.556542619,3.172620096,1,3740010
Gacuriro,Bungalow,214,2,2,3,2009,1,1,0.969454792,1.283704981,1,5488265
Kanombe,House,163,2,1,1,1982,1,1,6.888839991,2.065091381,1,3815038
Nyarutarama,Villa,51,1,1,1,2020,0,0,0,3.388036237,1,2191763
Kibagabaga,House,222,5,1,2,2008,0,0,6.797149388,3.251617949,0,5098098
Kanombe,House,163,2,1,3,1989,1,0,3.163194625,3.073795269,0,6756507
Kicukiro,Bungalow,127,3,2,1,1982,1,1,7.439435937,0.485905434,1,4882085
Nyarutarama,Villa,148,5,3,1,2006,1,0,3.161806348,2.609626137,1,7665307
Nyamirambo,House,256,3,1,3,2014,1,1,1.878724067,0,0,4001784
Kimironko,Apartment,88,2,3,2,2013,0,0,3.591477326,3.380142147,1,2045621
Kibagabaga,Villa,214,4,2,1,1998,0,0,4.89503236,2.962784201,0,2278324
Remera,Apartment,134,4,3,3,1982,0,1,8.978972494,3.093862897,1,546817
Gacuriro,House,159,5,2,3,1980,0,0,4.866020281,1.790037221,0,7170759
Nyarutarama,House,191,2,3,3,1998,1,1,3.756603482,1.737937388,1,3880551
Nyamirambo,Bungalow,111,5,3,1,2007,1,0,4.973114885,2.182160248,1,6512428
Nyamirambo,Apartment,226,1,1,1,2014,0,1,8.785057264,3.954151012,1,4972610
Kimironko,House,143,4,3,2,2007,0,1,0.926066473,2.812574701,1,7266212
Gacuriro,Bungalow,135,3,2,1,2014,0,0,5.106890266,1.95246958,1,6448699
Nyamirambo,Villa,112,3,2,2,2018,0,0,4.432223732,3.346660756,1,4576778
