Location,Property Type,Size (sqm),Number of Bedrooms,Number of Bathrooms,Number of Floors,Year Built,Parking Space,Furnished,Proximity to City Center (km),Proximity to Schools (km),Price (RWF)
Rusizi,Bungalow,62,3,3,1,2002,1,1,4.052957368608432,3.3873143642730024,338990
Kigali,Villa,93,1,2,1,2008,1,1,4.652687683417211,0.9611182862887375,4308453
Huye,Villa,91,5,3,3,1992,1,1,3.9519600499805954,0.8935799867368797,1448330
Huye,Villa,219,1,3,1,1983,1,0,0.4562818660539527,0.999280491696168,-1420505
Muhanga,House,114,3,1,1,2013,0,1,5.334669929935226,2.766614233825784,1299621
Muhanga,Villa,79,1,1,1,2022,0,0,1.3014479968076258,3.134704549672337,1103279
Rubavu,House,125,2,1,2,2019,1,1,6.01854905134068,0.5138629604532772,865649
Nyanza,Apartment,122,3,2,2,2022,0,0,1.2226062887355487,2.9529872682784775,3100276
Kigali,Bungalow,121,5,2,1,1995,1,1,5.001122292423837,1.859670030525742,5481172
Rusizi,Bungalow,164,5,1,3,2017,1,0,6.608605140213233,4.381129572318116,4509514
Nyamagabe,Bungalow,176,2,3,3,2013,0,1,4.230324352876266,0.0,2473718
Kigali,Apartment,143,1,3,1,2011,1,1,2.3083367971478923,2.3482883713726728,6741906
Gicumbi,Villa,216,2,2,1,2022,1,1,5.074701144364979,0.3177594970753934,6011321
Nyanza,Villa,99,2,1,1,2021,0,1,1.475696383434018,0.8149583804775633,5760600
Rubavu,Apartment,112,2,2,3,2006,0,1,5.868463847209551,2.6098086380183023,1430547
Kigali,Apartment,63,4,1,2,2008,1,1,5.80211953506614,2.318433179352154,3743045
Kigali,Villa,164,3,3,2,2023,0,1,2.955657421740409,2.8473197657297904,2493789
Nyamagabe,Bungalow,165,2,3,2,1982,1,1,6.558376332654893,3.0025117197367446,4396472
Rusizi,Villa,227,1,2,2,1993,0,0,3.6654287462928363,3.8427066977783815,2675516
Rubavu,House,107,3,3,1,1996,1,1,7.824640688963047,2.490706727512824,4267692
Kigali,Villa,152,3,1,3,2018,1,0,6.429496054325138,2.2216354537775165,1920897
Musanze,Villa,68,4,1,1,2010,0,1,0.9870828293606726,1.5556740944654848,2264514
Rusizi,House,92,4,2,1,1997,1,0,3.585398065089359,0.5368681494700891,2807186
Musanze,Villa,143,3,1,2,1984,1,1,4.458966807571606,2.5461184171121256,3436052
Kigali,Bungalow,123,5,3,1,1990,1,1,7.638025461885428,1.1936481124026461,4883470
Kigali,Villa,111,5,2,2,1996,0,1,2.9817562294845255,1.1787518407729283,9828863
Nyanza,Bungalow,162,5,1,3,1997,0,1,4.096048033073444,1.0928982448224238,4203351
Nyanza,Bungalow,120,5,1,3,1989,0,0,4.999895431063174,3.08586452306512,4100995
Nyamagabe,House,118,2,3,1,1997,0,1,5.83871217846789,0.8431352282676499,683831
Kigali,Villa,50,5,1,2,1986,1,1,4.778300338686747,2.626205062396809,5122961
Gicumbi,Villa,118,4,3,2,1983,0,0,4.769018102579398,1.313450945363241,6575922
Kigali,Villa,180,3,3,2,1984,1,1,4.77312425321437,1.9720879407401186,4212642
Gicumbi,Villa,109,5,1,1,2009,1,1,7.452605789978768,3.3565978160553698,3503540
Gicumbi,Villa,209,5,3,1,1984,0,0,4.3138391134467655,1.7343585773018724,4410192
Rubavu,Apartment,155,4,3,1,2013,0,1,4.124716315162921,1.0743987571532174,6569939
Huye,Bungalow,102,3,3,2,2020,1,1,3.2496901431052123,1.2016728718196843,2980474
Musanze,Bungalow,144,4,3,3,2016,1,1,1.9925705493581054,1.8937057591766298,8155518
Muhanga,House,178,2,3,1,2014,1,0,5.735567338788242,2.0985309578390754,5599893
Rwamagana,House,179,1,2,2,2015,1,0,4.255485501460481,1.4451201021832962,5986859
Muhanga,Apartment,232,1,3,2,1999,0,1,6.127082594056697,0.7833720242233921,1186611
Kigali,House,169,5,2,2,1986,1,1,2.4669551478558334,3.2324277475345093,6850070
Nyamagabe,Apartment,116,3,1,1,2008,1,0,7.754923376321732,3.1860761360351946,4333062
Musanze,Apartment,151,2,2,2,1983,1,1,8.567969944464227,1.857646109785734,6177022
Gicumbi,House,164,2,1,2,1982,1,1,6.67975804145179,0.7973624802700059,3698038
Nyamagabe,House,119,5,2,3,2022,1,1,5.734421563083557,1.1113395699761992,4280051
Gicumbi,Villa,189,4,3,1,2014,1,0,5.012947346356622,1.1271026457692503,5444076
Rwamagana,House,211,3,3,3,1985,1,0,7.2766097527931075,2.2821012675396375,4573148
Gicumbi,Apartment,159,4,2,1,1980,0,0,4.955538811457129,1.6885707329584296,2736958
Nyamagabe,Apartment,175,2,3,2,2002,1,1,5.635590003946514,2.3946199595818896,5324339
Gicumbi,House,139,3,1,1,2019,0,0,4.300751334425077,0.20287164613557773,4708294
Huye,House,123,4,3,3,2010,1,1,6.192783098513945,2.3166538064786026,5552484
Nyanza,House,88,5,1,2,1993,1,1,2.8375557051731017,1.5637460412801385,4490172
Nyamagabe,House,223,2,3,3,2006,1,1,4.158605977731861,3.383625685965008,1760147
Nyanza,House,98,3,3,1,1989,1,0,5.3289304509731545,2.7296161891022654,2473572
Musanze,Villa,148,3,1,2,2010,0,0,6.096686082459964,0.5194297011850957,2296486
Huye,House,139,2,3,2,1985,1,1,8.014358647124858,2.6655772134868108,3215034
Musanze,House,254,5,2,2,2006,1,0,5.816337508430117,0.29627797717607574,3024416
Muhanga,Bungalow,123,5,2,2,1994,0,0,2.322971989686838,3.4685440924790134,3773211
Kigali,Villa,260,2,3,2,2019,1,0,6.878326972983634,3.221514817538875,4476838
Rubavu,House,185,3,1,2,2006,0,1,6.8820903723681734,0.7250260171071488,5044405
Musanze,Bungalow,169,1,1,3,2018,1,1,4.7376424124396435,2.6111043119377473,4858675
Huye,House,177,2,1,2,2008,1,1,5.389182506772129,1.1186677288654514,3004901
Rusizi,Apartment,180,3,1,3,1993,1,0,6.424895155963354,2.2832061940560187,3174727
Nyanza,Villa,121,1,1,3,1998,0,0,3.894324958654205,1.7998737800858533,216022
Rusizi,House,214,3,2,2,1989,0,0,4.209320546107015,1.722477086836218,3519826
Rusizi,Apartment,164,2,1,2,1983,1,0,6.322070028311096,0.6091038030844982,2353528
Huye,House,81,1,1,1,1983,0,1,5.377491143510817,3.2977751168881175,-3629931
Rubavu,Villa,143,2,3,1,2008,1,1,5.318289720690478,1.6074097222045942,6535674
Kigali,Bungalow,131,4,2,2,2012,1,1,3.662158744457108,2.1067059009171913,4862747
Huye,House,98,4,1,2,2022,0,1,6.3789250748993505,0.6771421765275194,2917654
Muhanga,Apartment,119,2,1,3,1982,0,1,5.348585915408483,1.004663664871044,5697129
Musanze,Bungalow,128,3,1,3,2002,0,1,4.479819852895315,0.7155153482871641,4674942
Muhanga,Bungalow,193,5,2,2,1983,1,1,3.6195424855061775,1.4715586216227843,3989992
Rwamagana,Bungalow,136,4,3,3,2014,1,0,3.2835967156082067,2.269650868854185,5984271
Rusizi,Apartment,159,2,3,3,2020,0,1,3.6696443507559913,3.1564284175974278,4641259
